,phrase,prompt,phrase_length,phrase_num_words,mean_word_len,phrase_non_stopwords,cleaned_phrase
1105,All of a sudden I felt dizzy when I stood up.,Feeling dizzy,45,11,3.1818181818181817,8,sudden felt dizzy stood
1106,My son got a tattoo several weeks ago and the skin around it is raised and hot and it looks infected.,Infected wound,101,21,3.857142857142857,11,son got tattoo week ago skin raised hot look infected
1107,I have a wound between my toes that gets better overnight and then reopens ever day when I wear dress shoes to work.,Open wound,116,23,4.086956521739131,13,wound toe get better overnight reopens day wear dress shoe work
1108,I feel sad like hurt or pain,Emotional pain,28,7,3.142857142857143,6,feel sad like hurt pain
1109,There is a constant tickle in my throat,Cough,39,8,4.0,4,constant tickle throat
1110,My hair is falling out in huge amount,Hair falling out,37,8,3.75,4,hair falling huge
1111,i have a problem in my back i cannot extend it,Back pain,46,11,3.272727272727273,2,problem extend
1112,My son nicked his neck with an old razor and that spot has become inflamed and looks like it is infected.,Infected wound,105,21,4.0476190476190474,11,son nicked neck old razor spot inflamed look like infected
1113,I feel deep Tingling when I touch Acne followed by bad sensation,Acne,64,12,4.416666666666667,10,feel deep tingling touch acne followed bad sensation
1114,"I was diagnosed with  B12-deficiency anemia, which explains why I always felt cold.",Feeling cold,83,13,5.384615384615385,8,diagnosed anemia explains felt cold
1115,It hurts when I bent my arm,Joint pain,27,7,3.0,5,hurt bent arm
1116,I feel dizzy when i make sudden movements,Feeling dizzy,41,8,4.25,5,feel dizzy sudden movement
1117,Stomach pain after drinking milk,Stomach ache,32,5,5.6,4,stomach pain drinking milk
1118,"I think there's something wrong with my wound, it does not seem to heal like it should.",Infected wound,87,17,4.176470588235294,8,think wrong wound heal like
1119,I have a sharp pain in my ear,Ear ache,29,8,2.75,4,sharp pain ear
1120,I feel like there is something swollen and inflamed at the back of my knee.,Knee pain,75,15,4.066666666666666,6,feel like swollen inflamed knee
1121,When I walk it's hard to breath.,Hard to breath,32,7,3.7142857142857144,6,walk hard breath
1122,When I stand up too quick my vision is blurry.,Blurry vision,46,10,3.7,6,stand quick vision blurry
1123,I feel a bone-on-bone pain in my knees when I climb stairs.,Joint pain,59,12,4.0,8,feel boneonbone pain knee climb stair
1124,Since I went into the forest  I have pain on my ear,Ear ache,51,12,3.25,7,went forest pain ear
1125,When I stand up too quickly I feel as though I'm going to faint.,Feeling dizzy,64,14,3.642857142857143,9,stand quickly feel going faint
1126,When I carry heavy things i feel like breaking my back,Back pain,54,11,4.0,8,carry heavy thing feel like breaking
1127,My hair is falling out after I take a shower.,Hair falling out,45,10,3.6,5,hair falling shower
1128,My infected wound caused a fever,Infected wound,32,6,4.5,5,infected wound caused fever
1129,I walk every day but now I get short of breath after going only a short way.,Hard to breath,76,17,3.5294117647058822,9,walk day short breath going short way
1130,"I am always cold, even when I am wearing layers",Feeling cold,47,10,3.8,5,cold wearing layer
1131,Chronic bone disease at the level of the doubles of the lower Estremidades,Knee pain,74,13,4.769230769230769,7,chronic bone disease level double lower estremidades
1132,I tried alot of cream but i still feel the same skin problem,Skin issue,60,13,3.6923076923076925,7,tried alot cream feel skin problem
1133,i can't rotate my neck,Neck pain,22,5,3.6,3,rotate neck
1134,I have this strange rash on my arm.,Skin issue,35,8,3.5,4,strange rash arm
1135,When my grand father died I felt a hard emotional pain,Emotional pain,54,11,4.0,9,grand father died felt hard emotional pain
1136,I have a headache every time I eat ice cream,Head ache,44,10,3.5,7,headache time eat ice cream
1137,I often get a sharp pain in my chest and I can't tell what I'm doing that might be triggering it.,Heart hurts,97,21,3.6666666666666665,10,sharp pain chest tell triggering
1138,There feels like a swollen knot at my shoulderblade with pain shooting from that,Shoulder pain,80,14,4.785714285714286,8,feel like swollen knot shoulderblade pain shooting
1139,"I have a blurry vision since I woke up this morning, what could be the reason?",Blurry vision,78,16,3.9375,7,blurry vision woke morning reason
1140,There is a sharp pain in my bicep,Muscle pain,33,8,3.25,4,sharp pain bicep
1141,i can hardly breathe,Hard to breath,20,4,4.25,2,hardly breathe
1142,The arches of my feet hurt when I wear heels,Foot ache,44,10,3.5,7,arch foot hurt wear heel
1143,It hurts when I bent my arm,Joint pain,27,7,3.0,5,hurt bent arm
1144,My hair is falling out in huge amount,Hair falling out,37,8,3.75,4,hair falling huge
1145,I cannot bear this squeezing sensation I have in my chest.,Heart hurts,58,11,4.363636363636363,6,bear squeezing sensation chest
1146,When I tried to answer the phine call I found that I can't hear the voice of the speaker,Ear ache,88,19,3.6842105263157894,12,tried answer phine found hear voice speaker
1147,I have dark spots on my skin,Skin issue,28,7,3.142857142857143,4,dark spot skin
1148,I feel pain in my joint after an injury in the last football match I played.,Joint pain,76,16,3.8125,9,feel pain joint injury football match played
1149,I feel back pain when I carry heavy things,Back pain,42,9,3.7777777777777777,7,feel pain carry heavy thing
1150,Every time it rains I get hives on my belly and sides.,Skin issue,54,12,3.5833333333333335,7,time rain hive belly side
1151,I have severe shoulder pain,Shoulder pain,27,5,4.6,4,severe shoulder pain
1152,I have a foot ache after running 500m with my running shoes.,Foot ache,60,12,4.083333333333333,7,foot ache running running shoe
1153,The joints in my fingers are painful in the morning.,Joint pain,52,10,4.3,5,joint finger painful morning
1154,i have severe dry cough,Cough,23,5,3.8,3,severe dry cough
1155,i have pain like needles in my joints.,Joint pain,38,8,3.875,4,pain like needle joint
1156,i feel sad,Emotional pain,10,3,2.6666666666666665,2,feel sad
1157,I can't walk well I have an ache in my foot,Foot ache,43,11,3.0,6,walk ache foot
1158,My knee hurts when I walk,Knee pain,25,6,3.3333333333333335,5,knee hurt walk
1159,"The last time I clipped my toenails, I cut them too short and now I have an infected nail.",Infected wound,90,19,3.789473684210526,11,time clipped toenail cut short infected nail
1160,I used alot of pain killer to get better but i still feel the same back pain,Back pain,76,17,3.5294117647058822,7,alot pain killer better feel pain
1161,My back is hurting so much.,Back pain,27,6,3.6666666666666665,3,hurting
1162,Sometimes my body feels week without reason,Body feels weak,43,7,5.285714285714286,5,body feel week reason
1163,I can't walk well I have an ache in my foot,Foot ache,43,11,3.0,6,walk ache foot
1164,having difficulty moving my knee,Knee pain,32,5,5.6,4,having difficulty moving knee
1165,My hair always falls out and i have lost a lot of hair lately,Hair falling out,61,14,3.4285714285714284,7,hair fall lost lot hair lately
1166,There is a sharp pain in my bicep. I have tried to apply pain relief cream but it does not help.,Muscle pain,96,21,3.619047619047619,11,sharp pain bicep tried apply pain relief cream help
1167,I have a headache almost every day,Head ache,34,7,4.0,3,headache day
1168,Have severe cold and cough,Cough,26,5,4.4,4,severe cold cough
1169,i have severe dry cough,Cough,23,5,3.8,3,severe dry cough
1170,I feel pain inside and I can not identify it,Internal pain,44,10,3.5,6,feel pain inside identify
1171,My foot is hurting so much.,Foot ache,27,6,3.6666666666666665,4,foot hurting
1172,My ankle joint throbs when I put pressure on my foot.,Joint pain,53,11,3.909090909090909,7,ankle joint throb pressure foot
1173,"Even if the temperature is high in the house,  my body is always cold",Feeling cold,69,14,3.9285714285714284,6,temperature high house body cold
1174,I hit my head at the basketball game.  Could I have a concussion?,Injury from sports,65,13,4.0,8,hit head basketball game concussion
1175,When I get out of bed in the morning my body feels very weak.,Body feels weak,61,14,3.4285714285714284,7,bed morning body feel weak
1176,I cut myself and I'm bleeding.,Open wound,30,6,4.166666666666667,4,cut bleeding
1177,My face is all broken out with pimples.,Acne,39,8,4.0,4,face broken pimple
1178,What's the symptoms of appendicitis?,Internal pain,36,5,6.4,3,symptom appendicitis
1179,I've been over my cold for weeks but still cough every day.,Cough,59,12,4.0,5,cold week cough day
1180,Every morning when I wake up my neck feels like I slept on in wrong.,Muscle pain,68,15,3.6,10,morning wake neck feel like slept wrong
1181,My cut yellow or greenish-colored pus,Infected wound,37,6,5.333333333333333,5,cut yellow greenishcolored pu
1182,I get i joint pain when i try to bend my leg or my arm,Joint pain,54,15,2.6666666666666665,7,joint pain try bend leg arm
1183,My hair is falling when I am combing it.,Hair falling out,40,9,3.5555555555555554,6,hair falling combing
1184,When I brush my hair I notice big clumps of hair coming out in the brush.,Hair falling out,73,16,3.625,11,brush hair notice big clump hair coming brush
1185,I have a dry skin,Skin issue,17,5,2.6,3,dry skin
1186,I have an ear ache that won't go away.  I don't have a cold or headache or any other symptoms.  Just an earache.,Ear ache,112,23,3.8260869565217392,12,ear ache away cold headache symptom earache
1187,"when i get up, i feel dizzy and fall down.",Feeling dizzy,42,10,3.3,5,feel dizzy fall
1188,I feel a lot of pain in the joints.,Joint pain,35,9,3.0,5,feel lot pain joint
1189,I often get a stomach ache after I eat.  I haven't been able to pinpoint which foods might be the trigger.,Stomach ache,106,21,4.0476190476190474,11,stomach ache eat able pinpoint food trigger
1190,My hair always falls out and i have lost a lot of hair lately,Hair falling out,61,14,3.4285714285714284,7,hair fall lost lot hair lately
1191,My throught is so sore.,Neck pain,23,5,3.8,3,throught sore
1192,i have severe dry cough,Cough,23,5,3.8,3,severe dry cough
1193,I feel pain in the knee,Knee pain,23,6,3.0,4,feel pain knee
1194,The joints in my fingers are painful in the morning.,Joint pain,52,10,4.3,5,joint finger painful morning
1195,My knee catches and hurts when I first stand up after sitting.,Knee pain,62,12,4.25,7,knee catch hurt stand sitting
1196,When I stand up too quickly I start to feel dizzy and light-headed,Feeling dizzy,66,13,4.153846153846154,9,stand quickly start feel dizzy lightheaded
1197,When I tried to be warm and wear more clothes I found that I was still cold,Feeling cold,75,17,3.4705882352941178,10,tried warm wear clothes found cold
1198,I can't stand with this horrible feeling in my stomach,Stomach ache,54,10,4.5,6,stand horrible feeling stomach
1199,I'm not good i feel dizzy,Feeling dizzy,25,6,3.3333333333333335,4,good feel dizzy
1200,"When I stand up, I feel like I'm going to fall down instantly",Feeling dizzy,61,13,3.769230769230769,11,stand feel like going fall instantly
1201,When I do hard exercises I feel great pain in my muscles.,Muscle pain,57,12,3.8333333333333335,9,hard exercise feel great pain muscle
1202,My foot hurts me a lot of playing football,Foot ache,42,9,3.7777777777777777,6,foot hurt lot playing football
1203,I have tried to relief it but I can't,Body feels weak,37,9,3.2222222222222223,5,tried relief
1204,i feel cold,Feeling cold,11,3,3.0,2,feel cold
1205,I feel a tightness in my chest,Hard to breath,30,7,3.4285714285714284,4,feel tightness chest
1206,i was playing football and injuried with joint pain.,Joint pain,52,9,4.888888888888889,5,playing football injuried joint pain
1207,When I play football I have muscle pain.,Muscle pain,40,8,4.125,7,play football muscle pain
1208,I have a break in the skin between my thumb and index finger and it will not close.,Open wound,83,18,3.6666666666666665,7,break skin thumb index finger close
1209,i cant breathe,Cough,14,3,4.0,2,cant breathe
1210,"I feel pain in my legs muscles after I ran yesterday, I took some pain killers but it doesn't help.",Muscle pain,99,20,4.0,14,feel pain leg muscle ran yesterday took pain killer help
1211,I feel suicidal.,Emotional pain,16,3,4.666666666666667,3,feel suicidal
1212,I feel heart pain when I walk a lot,Heart hurts,35,9,3.0,7,feel heart pain walk lot
1213,My ear ache when I'm listening to music.,Ear ache,40,8,4.125,6,ear ache listening music
1214,I get breakouts on my chest with red patches that get more intense when i get hot.,Acne,82,17,3.8823529411764706,7,breakout chest red patch intense hot
1215,My knees ache on cold and rainy days.,Knee pain,37,8,3.75,6,knee ache cold rainy day
1216,my hair falling out,Hair falling out,19,4,4.0,2,hair falling
1217,my heart hurts me,Heart hurts,17,4,3.5,2,heart hurt
1218,I have a split on my thumb that will not heal.,Open wound,46,11,3.272727272727273,4,split thumb heal
1219,"i can't move my leg, there is pain in the joint",Joint pain,47,11,3.3636363636363638,4,leg pain joint
1220,I feel congestion in my chest,Cough,29,6,4.0,4,feel congestion chest
1221,i feel pain in my back,Back pain,22,6,2.8333333333333335,2,feel pain
1222,I think my body temperature is very low.,Feeling cold,40,8,4.125,5,think body temperature low
1223,"My stomach aches after I drink any soda drink, why?",Stomach ache,51,10,4.2,8,stomach ache drink soda drink
1224,I have a blurry vision after my head was hit yesterday.,Blurry vision,55,11,4.090909090909091,6,blurry vision head hit yesterday
1225,I had a sharp pain in my stomach,Stomach ache,32,8,3.125,4,sharp pain stomach
1226,I have a rash and it itches very bad.,Skin issue,37,9,3.2222222222222223,4,rash itch bad
1227,"I cut my finger opening a can, it won't stop bleeding and the wound is gaping and open",Open wound,86,18,3.8333333333333335,11,cut finger opening stop bleeding wound gaping open
1228,I have a dull ache in  my lower back which makes it difficult to move,Back pain,69,15,3.6,6,dull ache lower make difficult
1229,After eating  I have burning sensation inside of me.,Stomach ache,52,9,4.777777777777778,7,eating burning sensation inside
1230,My knee feels weak and it gave way the other day at the top of the stairs.  Luckily there was a rail to hold on to.,Knee pain,115,26,3.423076923076923,12,knee feel weak gave way day stair luckily rail hold
1231,I knocked my foot and it really hurts.,Foot ache,38,8,3.875,4,knocked foot hurt
1232,I think there's fluid in my ears.,Ear ache,33,7,3.857142857142857,5,think fluid ear
1233,My joints ache whenever it is cold,Joint pain,34,7,4.0,4,joint ache cold
1234,Sharp pain and heavy breathing,Internal pain,30,5,5.2,4,sharp pain heavy breathing
1235,I have a powerful pain inside my neck,Neck pain,37,8,3.75,5,powerful pain inside neck
1236,I can hardly move my neck.  It hurts.,Neck pain,37,8,3.625,5,hardly neck hurt
1237,My ear hurts and it's worse when I swallow.  My ear is very painful and Tylenol hasn't helped.,Ear ache,94,18,4.222222222222222,13,ear hurt worse swallow ear painful tylenol helped
1238,My knees seem to grind as I go up or down stairs.,Knee pain,49,12,3.1666666666666665,5,knee grind stair
1239,I get an ear ache when it is cold,Ear ache,33,9,2.7777777777777777,4,ear ache cold
1240,There is an injured person,Infected wound,26,5,4.4,3,injured person
1241,I was very active in sports but now my body is feeling pain.,Injury from sports,60,13,3.6923076923076925,6,active sport body feeling pain
1242,I cut myself and I'm bleeding.,Open wound,30,6,4.166666666666667,4,cut bleeding
1243,"My head hurts and I lose the sensation in my face, then lose sight in my eye",Head ache,76,17,3.5294117647058822,10,head hurt lose sensation face lose sight eye
1244,I have a sharp pain in my lower stomach.,Stomach ache,40,9,3.5555555555555554,5,sharp pain lower stomach
1245,It feels like my heart is going to leap out of my body. It hurts.,Heart hurts,65,15,3.4,9,feel like heart going leap body hurt
1246,I'm having a hard time hearing.,Ear ache,31,6,4.333333333333333,5,having hard time hearing
1247,When I eat sugar I notice my vision blurs.,Blurry vision,42,9,3.7777777777777777,8,eat sugar notice vision blur
1248,There is a tingling sensation in my neck.,Neck pain,41,8,4.25,4,tingling sensation neck
1249,My sore isn't healing well and it's been like this for two weeks.,Open wound,65,13,4.076923076923077,7,sore healing like week
1250,There is pain in my joints. I can not bear pain,Joint pain,47,11,3.3636363636363638,6,pain joint bear pain
1251,I had a cut that was stitched together but it is not healing.  It is oozing green puss and burns.,Infected wound,97,20,3.85,9,cut stitched healing oozing green pus burn
1252,My right shoulder clicks when I move my arm.,Shoulder pain,44,9,4.0,6,right shoulder click arm
1253,I feel great pain in the head,Head ache,29,7,3.2857142857142856,5,feel great pain head
1254,"I am worried how cold intolerant I am, I am always shivering, even out in the sun.",Feeling cold,82,17,3.8823529411764706,9,worried cold intolerant shivering sun
1255,There is a constant tickle in my throat,Cough,39,8,4.0,4,constant tickle throat
1256,"My skin color on my back is red, I don't know why.",Skin issue,50,12,3.25,8,skin color red know
1257,My muscles feel tired,Body feels weak,21,4,4.5,4,muscle feel tired
1258,my head hurts me badly,Head ache,22,5,3.6,3,head hurt badly
1259,I have a rash on my skin,Skin issue,24,7,2.5714285714285716,3,rash skin
1260,I feel like the world goes round and round,Feeling dizzy,42,9,3.7777777777777777,7,feel like world go round round
1261,"I've tried reading books, but nothing can cheer me up.",Emotional pain,54,10,4.5,6,tried reading book cheer
1262,I have general discomfort in my torso.,Internal pain,38,7,4.571428571428571,4,general discomfort torso
1263,I've noticed my hair falling out a lot lately.,Hair falling out,46,9,4.222222222222222,6,noticed hair falling lot lately
1264,i have a very bad cough,Cough,23,6,3.0,2,bad cough
1265,I toppled over while jumping to catch the ball.,Injury from sports,47,9,4.333333333333333,5,toppled jumping catch ball
1266,I feel back pain when I carry heavy things,Back pain,42,9,3.7777777777777777,7,feel pain carry heavy thing
1267,My son got a tattoo several weeks ago and the skin around it is raised and hot and it looks infected.,Infected wound,101,21,3.857142857142857,11,son got tattoo week ago skin raised hot look infected
1268,I feel sad like hurt or pain,Emotional pain,28,7,3.142857142857143,6,feel sad like hurt pain
1269,I feel pain in my ears with tinnitus,Ear ache,36,8,3.625,5,feel pain ear tinnitus
1270,After an hard working day I have foot ache,Foot ache,42,9,3.7777777777777777,7,hard working day foot ache
1271,I feel pain in my throat,Cough,24,6,3.1666666666666665,4,feel pain throat
1272,My wound opened up again,Open wound,24,5,4.0,3,wound opened
1273,I get i joint pain when i try to bend my leg or my arm,Joint pain,54,15,2.6666666666666665,7,joint pain try bend leg arm
1274,My face is all broken out with pimples.,Acne,39,8,4.0,4,face broken pimple
1275,"There is an extreme pressure below my belly button at the right, which I feel every time I go out for a jog.",Internal pain,108,23,3.739130434782609,11,extreme pressure belly button right feel time jog
1276,My son had his lip pierced and it is swollen and the skin inside on his lip is grey and looks infected.,Infected wound,103,22,3.727272727272727,11,son lip pierced swollen skin inside lip grey look infected
1277,there is a red stain in my skin,Skin issue,31,8,3.0,3,red stain skin
1278,I have a lot of knee pain whenever I go running.,Knee pain,48,11,3.4545454545454546,6,lot knee pain running
1279,I have a back pain since I fell on the floor.,Back pain,45,11,3.1818181818181817,5,pain fell floor
1280,I cut my hand a couple of days ago and although I didn't think I needed it stitches it hasn't closed up.,Open wound,104,22,3.772727272727273,15,cut hand couple day ago think needed stitch closed
1281,"I have a foot ache in winter, or when it feels cold, why?",Foot ache,57,13,3.4615384615384617,7,foot ache winter feel cold
1282,"Annoyance starts suddenly, often after an injury or exercise.",Knee pain,61,9,5.888888888888889,5,annoyance start suddenly injury exercise
1283,"i am feeling so dizzy, body is so fragile.",Body feels weak,42,9,3.7777777777777777,4,feeling dizzy body fragile
1284,My chest break out with red pimples and whiteheads.,Acne,51,9,4.777777777777778,6,chest break red pimple whitehead
1285,I was very active in sports but now my body is feeling pain.,Injury from sports,60,13,3.6923076923076925,6,active sport body feeling pain
1286,When i'm awake in the morning I feel strange and have vertigo,Feeling dizzy,61,12,4.166666666666667,8,awake morning feel strange vertigo
1287,I've been over my cold for weeks but still cough every day.,Cough,59,12,4.0,5,cold week cough day
1288,After eating  I have burning sensation inside of me.,Stomach ache,52,9,4.777777777777778,7,eating burning sensation inside
1289,Can't keep focus,Head ache,16,3,4.666666666666667,2,focus
1290,standing less than five minutes and my back start to ache,Back pain,57,11,4.2727272727272725,4,standing minute start ache
1291,A terrible fall in hair,Hair falling out,23,5,3.8,4,terrible fall hair
1292,When I remember her I feel down,Emotional pain,31,7,3.5714285714285716,5,remember feel
1293,My son got a tattoo several weeks ago and the skin around it is raised and hot and it looks infected.,Infected wound,101,21,3.857142857142857,11,son got tattoo week ago skin raised hot look infected
1294,I visited many doctors but they can't find the right treatment toget my hair back,Hair falling out,81,15,4.466666666666667,9,visited doctor find right treatment toget hair
1295,When I go to sleep I am feeling cold,Feeling cold,36,9,3.111111111111111,6,sleep feeling cold
1296,My right shoulder clicks when I move my arm.,Shoulder pain,44,9,4.0,6,right shoulder click arm
1297,I have severe shoulder pain,Shoulder pain,27,5,4.6,4,severe shoulder pain
1298,"My daughter was bit by her cat and now her hand is sore, red and swollen and the wound is oozing liquid.",Infected wound,104,22,3.772727272727273,11,daughter bit cat hand sore red swollen wound oozing liquid
1299,When I tried to answer the phine call I found that I can't hear the voice of the speaker,Ear ache,88,19,3.6842105263157894,12,tried answer phine found hear voice speaker
1300,I must see a doctor i have an open wound,Open wound,40,10,3.1,4,doctor open wound
1301,Need to scratch my skin every minute,Skin issue,36,7,4.285714285714286,4,need scratch skin minute
1302,"my cbc report indicate 10 hb, i feel tired of little work.",Body feels weak,58,12,3.9166666666666665,9,cbc report indicate feel tired little work
1303,Every time I take a deep breath I start coughing,Cough,48,10,3.9,8,time deep breath start coughing
1304,I feel pain in my joint after an injury in the last football match I played.,Joint pain,76,16,3.8125,9,feel pain joint injury football match played
1305,Stomach pain after drinking milk,Stomach ache,32,5,5.6,4,stomach pain drinking milk
1306,It's hard to see things,Blurry vision,23,5,3.8,3,hard thing
1307,I feel great pain in the head,Head ache,29,7,3.2857142857142856,5,feel great pain head
1308,I had a sharp pain in my stomach,Stomach ache,32,8,3.125,4,sharp pain stomach
1309,There is a sharp pain in my ear whenever I do this.,Ear ache,51,12,3.3333333333333335,6,sharp pain ear
1310,I cannot bear this squeezing sensation I have in my chest.,Heart hurts,58,11,4.363636363636363,6,bear squeezing sensation chest
1311,My wound opened up again,Open wound,24,5,4.0,3,wound opened
1312,I have pain in my colon and my stomach like something cutting it,Stomach ache,64,13,4.0,6,pain colon stomach like cutting
1313,I feel deep Tingling when I touch Acne followed by bad sensation,Acne,64,12,4.416666666666667,10,feel deep tingling touch acne followed bad sensation
1314,I have an indigestion,Stomach ache,21,4,4.5,2,indigestion
1315,i can't breath because of  Cough,Cough,32,6,4.333333333333333,3,breath cough
1316,I have dark spots on my skin,Skin issue,28,7,3.142857142857143,4,dark spot skin
1317,"I never had any acne problem until my last pregnancy, when all of a sudden my back got covered in zits.",Acne,103,21,3.9523809523809526,8,acne problem pregnancy sudden got covered zit
1318,I feel dizzy when i make sudden movements,Feeling dizzy,41,8,4.25,5,feel dizzy sudden movement
1319,My daughter had her ears pierced and one of her ear lobes is bright red and burning hot.,Infected wound,88,18,3.9444444444444446,10,daughter ear pierced ear lobe bright red burning hot
1320,After walking I have some pain under my foot,Foot ache,44,9,4.0,5,walking pain foot
1321,My ear is ringing.,Ear ache,18,4,3.75,3,ear ringing
1322,"I cough a lot when I smell perfume, what is wrong with my lungs?",Cough,64,14,3.642857142857143,8,cough lot smell perfume wrong lung
1323,My knee hurts when I play squash,Knee pain,32,7,3.7142857142857144,6,knee hurt play squash
1324,I have some terrible problems when i'm breathing during the night.,Cough,66,11,5.090909090909091,6,terrible problem breathing night
1325,After a breakup  I feel something strange in me.,Emotional pain,48,9,4.333333333333333,6,breakup feel strange
1326,My shoulder hurts when I try to reach something above my head.,Shoulder pain,62,12,4.25,7,shoulder hurt try reach head
1327,I have a rash and it itches very bad.,Skin issue,37,9,3.2222222222222223,4,rash itch bad
1328,When i'm doing sport I have pain under my skin,Muscle pain,46,10,3.7,6,sport pain skin
1329,"My mind feels very sad, as if it hurts.  The way I feel in my head is awful and when I think about my break-up, I cry with sadness.",Emotional pain,131,29,3.5172413793103448,17,mind feel sad hurt way feel head awful think breakup cry sadness
1330,"When I walk up a flight of stairs, my right knee hurts.",Knee pain,55,12,3.6666666666666665,8,walk flight stair right knee hurt
1331,I have general discomfort in my torso.,Internal pain,38,7,4.571428571428571,4,general discomfort torso
1332,My cough is very heavy and I have mucus.,Cough,40,9,3.5555555555555554,5,cough heavy mucus
1333,I feel pain in my throat,Cough,24,6,3.1666666666666665,4,feel pain throat
1334,i feel pain in my knee,Knee pain,22,6,2.8333333333333335,3,feel pain knee
1335,I feel pain in my back,Back pain,22,6,2.8333333333333335,3,feel pain
1336,my shoulder is hurting me,Shoulder pain,25,5,4.2,2,shoulder hurting
1337,I have severe shoulder pain,Shoulder pain,27,5,4.6,4,severe shoulder pain
1338,fell skull is cracked like nuts,Head ache,31,6,4.333333333333333,5,fell skull cracked like nut
1339,i was travelling by ship and i feel dizzy.,Feeling dizzy,42,9,3.7777777777777777,4,travelling ship feel dizzy
1340,I got acne when I ate chili,Acne,27,7,3.0,6,got acne ate chili
1341,My daughter had her eyebrows threaded and it pulled an opening of skin in one of her brows that is now puffy and oozing.,Infected wound,120,24,4.041666666666667,10,daughter eyebrow threaded pulled opening skin brow puffy oozing
1342,I feel a great pain in my shoulder when i try to lift something heavy,Shoulder pain,69,15,3.6666666666666665,8,feel great pain shoulder try lift heavy
1343,When I force my eyes to view I have blurry vision.,Blurry vision,50,11,3.6363636363636362,8,force eye view blurry vision
1344,I do not know why I feel cold,Feeling cold,29,8,2.75,5,know feel cold
1345,The warming system of my house is broken and  feel so cold,Feeling cold,58,12,3.8333333333333335,7,warming system house broken feel cold
1346,My shoulder has agreat pain,Shoulder pain,27,5,4.6,4,shoulder agreat pain
1347,stiffness inability to look right or left except by moving the whole body,Neck pain,73,13,4.6923076923076925,7,stiffness inability look right left moving body
1348,I feel a soreness in my knees when I walk,Joint pain,41,10,3.2,6,feel soreness knee walk
1349,Every time I comb my hair there are so many hair in my comb.,Hair falling out,60,14,3.357142857142857,7,time comb hair hair comb
1350,My chest acne breaks out and never clears up.,Acne,45,9,4.111111111111111,6,chest acne break clear
1351,When I play football I have muscle pain.,Muscle pain,40,8,4.125,7,play football muscle pain
1352,My hair is falling out after I take a shower.,Hair falling out,45,10,3.6,5,hair falling shower
1353,When I played football I dislocated my shoulder,Injury from sports,47,8,5.0,7,played football dislocated shoulder
1354,"I am always cold, even when I am wearing layers",Feeling cold,47,10,3.8,5,cold wearing layer
1355,I have a hard muscle pain since i went to the gym,Muscle pain,49,12,3.1666666666666665,6,hard muscle pain went gym
1356,when i extend my leg there is pain in knee joint,Joint pain,48,11,3.4545454545454546,5,extend leg pain knee joint
1357,I have a great stomach ache and i can't eat any thing,Stomach ache,53,12,3.5,7,great stomach ache eat thing
1358,I cannot breathe because of this dull ache below my left shoulder.,Heart hurts,66,12,4.583333333333333,6,breathe dull ache left shoulder
1359,I feel a pain in my back when I sit on a chair for long.,Back pain,56,15,2.8,7,feel pain sit chair long
1360,My daughter had her eyebrows threaded and it pulled an opening of skin in one of her brows that is now puffy and oozing.,Infected wound,120,24,4.041666666666667,10,daughter eyebrow threaded pulled opening skin brow puffy oozing
1361,I have some pain when i'm walking around my knees,Joint pain,49,10,4.0,5,pain walking knee
1362,There are lots of hairs on my pillow in the morning.,Hair falling out,52,11,3.8181818181818183,5,lot hair pillow morning
1363,When I play sports  I have some burning sensation in my spine,Back pain,61,12,4.083333333333333,8,play sport burning sensation spine
1364,I have a dull ache in my stomach.  It gets worse after I eat.,Internal pain,61,14,3.357142857142857,9,dull ache stomach get worse eat
1365,"I can't hear out of my ear properly, I feel like there is something in it causing irritation.",Ear ache,93,18,4.222222222222222,10,hear ear properly feel like causing irritation
1366,I can hardly move my neck.  It hurts.,Neck pain,37,8,3.625,5,hardly neck hurt
1367,It feels like my heart is going to leap out of my body. It hurts.,Heart hurts,65,15,3.4,9,feel like heart going leap body hurt
1368,I'm having a hard time hearing.,Ear ache,31,6,4.333333333333333,5,having hard time hearing
1369,I have shooting pains up and down my back.,Back pain,42,9,3.7777777777777777,4,shooting pain
1370,I think there's fluid in my ears.,Ear ache,33,7,3.857142857142857,5,think fluid ear
1371,"Even if the temperature is high in the house,  my body is always cold",Feeling cold,69,14,3.9285714285714284,6,temperature high house body cold
1372,My acne is really embarassing. It's so read.,Acne,44,8,4.625,5,acne embarassing read
1373,My sore isn't healing well and it's been like this for two weeks.,Open wound,65,13,4.076923076923077,7,sore healing like week
1374,My head hurts in the back and the pain lasts all day.,Head ache,53,12,3.5,6,head hurt pain last day
1375,I have a rash and it itches very bad.,Skin issue,37,9,3.2222222222222223,4,rash itch bad
1376,My heart feels like it's going to explode.,Heart hurts,42,8,4.375,7,heart feel like going explode
1377,Is pimples a skin disease?,Acne,26,5,4.4,4,pimple skin disease
1378,"After playing tennis,  I had a powerful sensation close to my neck",Shoulder pain,66,12,4.5,8,playing tennis powerful sensation close neck
1379,My hair is falling out in bunches.,Hair falling out,34,7,4.0,4,hair falling bunch
1380,My shoulder hurts when I try to reach something above my head.,Shoulder pain,62,12,4.25,7,shoulder hurt try reach head
1381,I knocked my foot and it really hurts.,Foot ache,38,8,3.875,4,knocked foot hurt
1382,I have a scab on the back of my hand that just won't go away.,Skin issue,61,15,3.1333333333333333,5,scab hand away
